Source, Statistic, mean, standard deviation, number of connections, z, p
SOX15, HepUp targets,1.114,1.00945728,1,-0.112931971,0.455042245
FOXO4, ESCUp sources,1.116,1.020070586,1,-0.113717621,0.454730822
SOX2,  targets,5.241,2.085885663,5,-0.115538452,0.454009172
ZBTB16, ESCDown sources,2.166,1.430539758,2,-0.116040116,0.453810374
KLF7, ESCDown sources,2.172,1.477976996,2,-0.116375289,0.453677559
SNAI1,  sources,6.274,2.338573069,6,-0.117165465,0.453364467
ZNF234, HepUp sources,1.126,1.057413826,1,-0.119158646,0.452574834
SOX4, HepUp targets,1.125,1.043731287,1,-0.119762626,0.452335594
ZFP36L1, HepEven sources,4.238,1.946626826,4,-0.122262776,0.451345456
LCORL, HepUp sources,2.179,1.456351263,2,-0.122909908,0.45108922
GABPA, EndodUP targets,7.334,2.710432438,7,-0.123227569,0.450963448
CARHSP1, EndodUP sources,1.13,1.041681333,1,-0.124798243,0.450341639
PBX1, EndodUP sources,1.131,1.03722659,1,-0.126298343,0.449747884
RFX5, HepUp sources,1.13,1.029125843,1,-0.1263208,0.449738996
PLXNA2, EndodUP sources,1.14,1.104717158,1,-0.126729271,0.449577339
EOMES, ESCDown sources,1.134,1.056429837,1,-0.126842309,0.449532604
ZNF721, HepUp sources,1.13,1.023279043,1,-0.127042571,0.449453353
CREB3L1, HepEven sources,1.134,1.049782835,1,-0.127645448,0.449214782
MBNL1, ESCUp sources,1.131,1.020705148,1,-0.128342646,0.448938909
NANOG,  sources,4.23,1.776823008,4,-0.129444519,0.448502961
ZBTB10, HepEven sources,1.138,1.05021712,1,-0.1314014,0.447728891
ZNF644, ESCUp sources,1.137,1.01893621,1,-0.134453952,0.446521811
YEATS2, ESCDown sources,1.143,1.054775332,1,-0.135573895,0.446079072
STAT6, HepEven sources,4.275,1.996340402,4,-0.137752059,0.445218187
ATXN7,  sources,17.504,3.646914312,17,-0.138199024,0.445041563
DDIT3, EndodUP sources,1.15,1.071214264,1,-0.140028008,0.44431893
PRDM1, HepDown targets,4.283,2.019136201,4,-0.140158945,0.444267204
PBX1,  sources,7.341,2.43119703,7,-0.140260125,0.444227234
FOXC1,  sources,3.223,1.575205066,3,-0.141568869,0.443710279
POU2F3, HepDown targets,1.151,1.046039674,1,-0.144353989,0.442610474
SCML4, HepEven sources,1.149,1.030921433,1,-0.144530898,0.44254063
SOX15,  targets,5.299,2.036074409,5,-0.146851215,0.44162473
TGIF1, HepEven sources,6.348,2.364930443,6,-0.147150205,0.441506732
ARNT, HepDown targets,5.333,2.259670551,5,-0.147366615,0.441421328
ZNF385A, HepUp sources,2.21,1.418414608,2,-0.148052621,0.44115062
MAFB, ESCDown targets,6.369,2.476456945,6,-0.149003196,0.440775555
NKX2-5, HepUp sources,2.217,1.437327729,2,-0.150974615,0.43999787
FOXP4, HepUp sources,2.221,1.458821099,2,-0.151492188,0.439793736
CENPB, HepEven sources,1.155,1.021261475,1,-0.15177308,0.439682957
TCF19, HepUp sources,1.158,1.038766576,1,-0.152103469,0.439552664
ZNF791,  sources,5.315,2.049823163,5,-0.153671793,0.438934263
GATA6, HepUp sources,1.166,1.078166963,1,-0.153965022,0.438818658
STAT6, EndodUP sources,2.237,1.535848625,2,-0.154312083,0.438681835
ZNF263, HepEven sources,2.223,1.437105076,2,-0.155173065,0.438342441
SOX11, HepUp targets,1.161,1.034929466,1,-0.155566157,0.438187501
NUFIP1, HepEven sources,1.157,1.009133787,1,-0.155578975,0.438182449
TERF2IP, HepEven sources,1.163,1.037511928,1,-0.157106628,0.437580407
KLF7, HepEven sources,3.273,1.737374744,3,-0.15713363,0.437569767
NANOG, HepUp targets,2.228,1.444996886,2,-0.157785807,0.437312791
NFXL1, ESCDown sources,1.167,1.046475513,1,-0.159583285,0.436604673
PRDM1, HepEven sources,4.32,1.990879203,4,-0.160733007,0.436151846
LEF1,  sources,10.472,2.877362681,10,-0.164039105,0.43485018
HMGB2, HepEven sources,3.286,1.740748115,3,-0.164297176,0.434748602
LEF1,  targets,14.574,3.437808023,14,-0.166966857,0.433698064
ZFP112, HepEven sources,1.176,1.051201218,1,-0.167427508,0.433516841
RBPJ, HepEven sources,2.246,1.468156667,2,-0.16755705,0.433465881
ZNF589, ESCDown targets,4.341,2.031432746,4,-0.167861821,0.433345993
MAF, EndodUP sources,1.186,1.087843739,1,-0.170980439,0.432119573
SMAD3, HepEven targets,6.403,2.350444852,6,-0.171456905,0.431932257
E2F3, ESCDown targets,4.361,2.072843216,4,-0.174156925,0.430871069
LCORL, ESCUp sources,1.19,1.084389229,1,-0.175213839,0.430455805
CEBPB, ESCDown targets,4.349,1.984741545,4,-0.175841535,0.430209219
BMP2, HepEven sources,1.196,1.105252912,1,-0.177334977,0.429622639
KLF15, HepUp sources,1.193,1.081550276,1,-0.178447553,0.429185753
SOX6, HepUp targets,1.193,1.078772914,1,-0.178906976,0.429005372
SOX11,  targets,5.376,2.090125355,5,-0.179893516,0.428618083
FOXO4, HepDown targets,1.19,1.05541461,1,-0.180024038,0.428566848
NFIB,  sources,7.442,2.453290851,7,-0.180166163,0.428511061
ZNF556,  sources,7.435,2.412420983,7,-0.180316787,0.428451939
RBM22, HepEven sources,1.194,1.071617469,1,-0.181034749,0.42817015
MAX, HepUp targets,14.677,3.7227236,14,-0.181856101,0.427847828
ATF6, HepEven sources,1.196,1.072186551,1,-0.182804009,0.427475901
SMAD3,  targets,32.947,5.122908451,32,-0.184855929,0.426671019
ZFP112,  sources,4.345,1.866005091,4,-0.184886955,0.426658851
JUN, ESCUp targets,4.378,2.04331006,4,-0.18499395,0.42661689
LEF1, HepUp sources,2.269,1.450737399,2,-0.185422944,0.426448657
GABPA, EndodUP sources,1.199,1.069298368,1,-0.186103342,0.426181861
PLEKHA4, HepEven sources,1.195,1.03487922,1,-0.188427786,0.42527066
FOXD3, ESCUp sources,1.201,1.06329629,1,-0.189034799,0.425032772
FOXP4, ESCUp sources,1.198,1.047280287,1,-0.189061135,0.425022451
KLF11, ESCUp sources,1.21,1.095399471,1,-0.191710883,0.42398434
MEF2C,  sources,10.556,2.8984244,10,-0.19182836,0.423938328
ATF6, ESCUp targets,2.288,1.488978173,2,-0.193421237,0.423314542
SOX4,  targets,5.398,2.024251961,5,-0.19661584,0.422064087
NFYB, HepEven targets,13.703,3.549477567,13,-0.198057316,0.42150011
ZFHX3, EndodUP sources,1.211,1.065119242,1,-0.198099886,0.421483457
TEAD1, HepEven sources,2.289,1.45652978,2,-0.198416815,0.421359481
MYCL1,  sources,5.435,2.160040509,5,-0.201385112,0.420198728
SOX6,  targets,5.424,2.087156918,5,-0.20314716,0.419510006
LARP6, HepEven sources,1.227,1.112416738,1,-0.204060216,0.419153222
CEBPB, ESCUp targets,3.369,1.803008319,3,-0.204657957,0.418919685
ZHX1,  sources,7.516,2.519076021,7,-0.20483701,0.418849735
POU5F1, HepEven sources,2.302,1.467240948,2,-0.205828498,0.41846244
THAP4, ESCUp sources,1.226,1.091294644,1,-0.207093475,0.417968429
PRDM6, ESCUp sources,1.224,1.0797333,1,-0.207458638,0.417825846
MBNL3, EndodUP sources,1.231,1.110693027,1,-0.207978257,0.417622972
SP110, HepEven sources,2.296,1.42280849,2,-0.208039242,0.417599163
SMAD1,  targets,25.962,4.608096787,25,-0.208762976,0.417316638
MAFG,  sources,18.797,3.806808506,18,-0.209361726,0.417082934
ZNF589,  targets,23.949,4.445491986,23,-0.213474685,0.415478366
SMAD9,  targets,25.964,4.49585409,25,-0.21441977,0.415109863
SEMA4A, HepUp sources,2.333,1.540815044,2,-0.216119385,0.414447345
CREB3L2, EndodUP sources,1.236,1.090093574,1,-0.216495176,0.414300893
WDHD1, ESCDown sources,1.231,1.066601613,1,-0.216575709,0.414269509
STAT6, ESCUp targets,3.385,1.777294292,3,-0.216621413,0.414251699
HNF1B, HepUp targets,7.58,2.626708968,7,-0.220808627,0.412620723
MEF2C, HepUp sources,2.33,1.491006372,2,-0.221327022,0.412418906
ZNF776,  sources,4.432,1.94919881,4,-0.221629522,0.412301149
CENPB,  sources,4.4,1.803330253,4,-0.221811839,0.412230181
BMP2,  sources,4.404,1.81129346,4,-0.223045028,0.411750231
DPF3,  sources,4.422,1.889951322,4,-0.223286174,0.411656394
SIX4, ESCDown sources,1.24,1.074430081,1,-0.223374237,0.411622127
GABPA, HepEven sources,2.329,1.467228339,2,-0.22423231,0.411288272
SP110, EndodUP sources,1.249,1.109503943,1,-0.224424619,0.411213458
U2AF1, HepUp sources,1.239,1.063898021,1,-0.224645591,0.411127497
RBPJ, HepEven targets,2.334,1.482715077,2,-0.225262429,0.410887563
TSC22D1, ESCUp sources,1.253,1.116687512,1,-0.226562935,0.410381808
ESCDown, HepEven targets,74.89,8.335820296,73,-0.226732335,0.410315941
HepEven, ESCDown sources,74.89,8.335820296,73,-0.226732335,0.410315941
MSX1, HepUp sources,1.263,1.155781554,1,-0.22755165,0.409997406
BCL11B, HepEven sources,1.243,1.04783157,1,-0.2319075,0.40830493
ZNF776, HepEven sources,1.256,1.093829969,1,-0.234040031,0.407476951
ZNF589, ESCUp targets,3.429,1.818504605,3,-0.235908119,0.406751984
ZNF519, HepEven sources,1.257,1.083951567,1,-0.237095464,0.406291366
ETV5, ESCDown sources,2.358,1.497943924,2,-0.23899426,0.405555017
ZNF764,  sources,9.672,2.810056227,9,-0.239141122,0.405498078
NKX2-5,  targets,11.713,2.971637764,11,-0.239935031,0.405190311
ZMAT3, EndodUP sources,1.273,1.136868946,1,-0.240133219,0.405113491
ZBTB4, EndodUP sources,1.26,1.081850267,1,-0.240329007,0.405037605
ID2,  sources,6.563,2.341800803,6,-0.240413275,0.405004944
CREBL2, HepUp sources,1.27,1.122096253,1,-0.240621069,0.40492441
PLXNA3,  sources,7.614,2.528439044,7,-0.242837573,0.404065614
CEBPA, HepUp targets,4.478,1.966600112,4,-0.243059073,0.403979818
HNF1B, EndoDown targets,1.28,1.150478161,1,-0.243377066,0.403856654
NCOA2, ESCDown sources,1.271,1.107049683,1,-0.244794795,0.403307662
ATF6,  sources,4.467,1.902343555,4,-0.245486678,0.403039811
LCORL,  sources,9.673,2.734606187,9,-0.246104906,0.402800513
E2F3, EndodUP targets,3.466,1.876391217,3,-0.248349063,0.401932171
SMAD6,  targets,26.1,4.420633439,25,-0.248833118,0.401744936
ZNF415, HepEven sources,1.272,1.089043617,1,-0.249760428,0.401386312
TFAP2A, ESCUp sources,1.284,1.131080899,1,-0.251087257,0.400873324
SLC2A4RG, HepEven sources,2.365,1.44906004,2,-0.251887423,0.40056404
EndoDown, EndodUP sources,10.852,3.361264048,10,-0.25347607,0.399950176
EndodUP, EndoDown targets,10.852,3.361264048,10,-0.25347607,0.399950176
H1F0, HepUp sources,1.287,1.129880967,1,-0.254009058,0.39974428
HMGB2,  sources,11.76,2.985699248,11,-0.254546737,0.399536601
ZFP36, HepEven sources,1.295,1.150641126,1,-0.256378808,0.398829175
ARNT,  targets,60.845,7.189087216,59,-0.256638979,0.398728741
NFYB, ESCDown targets,12.889,3.359267629,12,-0.264641017,0.39564301
CBFB, HepDown targets,1.282,1.065117834,1,-0.264759439,0.395597393
USF1, EndodUP targets,7.767,2.89356372,7,-0.265071059,0.395477361
TFAP4, ESCDown sources,1.299,1.127651985,1,-0.265152728,0.395445905
SLC2A4RG, EndodUP sources,1.296,1.114622806,1,-0.265560689,0.395288782
ZNF446, ESCUp sources,1.304,1.143496393,1,-0.265851298,0.395176867
MIXL1, HepUp sources,1.295,1.107237554,1,-0.266428825,0.394954484
ZFP42, HepEven sources,3.489,1.799966389,3,-0.27167174,0.392937216
BNC2, ESCDown sources,1.293,1.078494784,1,-0.271674935,0.392935988
PRDM14, EndodUP sources,1.308,1.125671355,1,-0.273614496,0.392190447
KLF6, ESCDown sources,1.308,1.114960089,1,-0.276243072,0.391180689
ZSCAN10,  sources,6.66,2.388388578,6,-0.276336944,0.391144642
ZNF32, HepEven sources,1.322,1.155125967,1,-0.278757477,0.390215475
ZNF507, ESCDown sources,1.307,1.099432126,1,-0.279235064,0.390032218
FOXJ2,  targets,22.133,4.054295377,21,-0.279456698,0.389947182
DZIP1, HepUp sources,1.315,1.119720947,1,-0.281320092,0.389232451
ZNF385A, ESCUp sources,1.323,1.147462853,1,-0.281490594,0.389167071
MAFB, ESCDown sources,1.322,1.141190606,1,-0.282161453,0.388909857
HESX1, HepEven sources,1.317,1.121833767,1,-0.28257306,0.388752067
ARNT, ESCDown targets,10.976,3.444041812,10,-0.283387965,0.388439727
SP8,  sources,4.55,1.922368331,4,-0.286105421,0.38739869
ESCDown, HepUp sources,80.571,8.948796511,78,-0.287301203,0.386940851
HepUp, ESCDown targets,80.571,8.948796511,78,-0.287301203,0.386940851
RBPJ, HepUp targets,2.439,1.515347815,2,-0.289702467,0.386021935
ZBTB4, HepEven sources,2.439,1.515347815,2,-0.289702467,0.386021935
FOXJ2, HepUp sources,1.328,1.131554683,1,-0.289866681,0.385959116
NR2F2, HepUp sources,3.534,1.831623324,3,-0.29154466,0.385317396
CREBL2,  sources,5.616,2.104410606,5,-0.29271854,0.384868649
HAND1, HepEven sources,1.34,1.159482643,1,-0.29323423,0.384671561
TSC22D2,  sources,6.675,2.300298894,6,-0.293440127,0.384592879
BACH2,  sources,7.728,2.476290775,7,-0.293988092,0.384383501
ZNF232,  sources,8.774,2.631525033,8,-0.294126026,0.384330802
SMAD7,  targets,26.343,4.557998574,25,-0.294646867,0.384131828
NFXL1, HepUp sources,1.347,1.176686449,1,-0.294895892,0.384036705
LARP6,  sources,4.586,1.966876712,4,-0.297934282,0.382876661
DMTF1, ESCDown sources,1.329,1.103974184,1,-0.298014215,0.382846157
TIPARP, EndodUP sources,1.341,1.143118104,1,-0.298306884,0.382734475
TRIM32, ESCDown sources,1.353,1.180843343,1,-0.298938892,0.382493336
FOXO4, EndodUP sources,1.333,1.112704363,1,-0.299270867,0.38236669
ZNF267, HepUp sources,1.355,1.185316413,1,-0.299498088,0.382280015
HNF4A,  sources,16.035,3.449025225,15,-0.300084787,0.382056241
BACH2, HepDown targets,3.57,1.847457713,3,-0.308532096,0.378838741
CDX2, EndodUP targets,1.352,1.133179597,1,-0.310630372,0.378040818
ZNF519,  sources,4.597,1.921091096,4,-0.310760901,0.377991198
MLLT1, HepUp sources,1.355,1.141479303,1,-0.310999945,0.377900332
C20orf194, ESCDown sources,1.365,1.172081482,1,-0.311411797,0.377743794
ZNF613, EndodUP sources,1.37,1.182835576,1,-0.312807636,0.377213407
TFDP2, EndodUP sources,1.342,1.093177021,1,-0.312849606,0.377197463
ATF1, HepUp targets,4.665,2.122916626,4,-0.313248289,0.377046017
DNAJC1, ESCDown sources,1.375,1.194309424,1,-0.313988982,0.376764704
FOSL2, HepEven sources,1.366,1.164493023,1,-0.314299865,0.37664665
MTA3, HepUp sources,1.353,1.121780282,1,-0.314678378,0.376502931
ZHX1, ESCDown sources,1.368,1.163862535,1,-0.316188544,0.375929701
FOXC1, ESCDown targets,1.367,1.144688167,1,-0.320611334,0.374252474
MAFG, ESCDown sources,3.586,1.820605394,3,-0.321870957,0.373775228
ZIC3, HepEven sources,1.348,1.081154938,1,-0.32187801,0.373772556
POLR2L, HepUp sources,1.37,1.141534056,1,-0.32412524,0.372921609
SOX15, ESCUp sources,1.381,1.164404998,1,-0.327205741,0.37175614
ATF6, HepDown targets,1.39,1.177242541,1,-0.331282626,0.370215507
HNF4A,  targets,54.15,6.478078419,52,-0.331888542,0.369986711
TBX3, HepEven sources,1.36,1.071634266,1,-0.335935507,0.368459751
RUNX1, HepDown targets,1.406,1.193802329,1,-0.340089804,0.36689445
NFYB, EndodUP targets,10.063,3.10274572,9,-0.34259978,0.365949784
SSH2, ESCDown sources,1.397,1.147776546,1,-0.345886141,0.364714142
ZBTB7C, ESCUp sources,1.407,1.175308896,1,-0.346291942,0.364561662
HNF1B,  targets,35.832,5.287511324,34,-0.346476799,0.364492209
MAFB, HepEven targets,6.904,2.600150765,6,-0.347672147,0.364043208
ATF1, HepEven sources,2.576,1.645060485,2,-0.350139101,0.363117154
HMGB2, ESCUp sources,1.411,1.158481333,1,-0.354774814,0.361379149
SMAD1, ESCUp targets,3.672,1.889025145,3,-0.355739044,0.361018001
CEBPA, ESCDown sources,1.431,1.207161547,1,-0.357035892,0.360532468
GABPA, HepUp targets,11.139,3.187111388,10,-0.357376904,0.360404832
NFE2, HepDown targets,3.691,1.930160356,3,-0.358001343,0.360171154
ZNF497, HepEven sources,1.396,1.101446322,1,-0.35952728,0.359600337
MSX1,  sources,5.795,2.201584657,5,-0.361103534,0.359011026
TEAD3, EndodUP sources,1.42,1.156546584,1,-0.363150094,0.358246383
GATA5,  sources,6.857,2.346177956,6,-0.365274935,0.357453093
SIX4, HepUp sources,1.433,1.179623245,1,-0.367066351,0.356784763
DEK, ESCDown sources,1.459,1.242706321,1,-0.369355166,0.355931505
ZNF644, EndodUP sources,1.419,1.129353355,1,-0.371008771,0.3553155
IRX3, HepUp sources,1.441,1.182589954,1,-0.372910321,0.354607595
ZNF268,  sources,3.627,1.661285948,3,-0.37741847,0.352931322
HOXB2, HepEven sources,1.435,1.152291196,1,-0.377508742,0.352897784
YBX2,  sources,11.139,3.006938476,10,-0.37879059,0.352421688
NFE2, HepEven targets,8.047,2.750052909,7,-0.380719948,0.351705533
SOX11, HepUp sources,1.432,1.127553103,1,-0.383130514,0.350811498
FOXO4,  sources,9.037,2.690284557,8,-0.385461083,0.349947917
KLF6,  sources,6.887,2.297004789,6,-0.38615505,0.349690921
KLF7, ESCUp sources,1.465,1.195313766,1,-0.389019196,0.348630973
ZNF234, HepEven sources,1.45,1.154772705,1,-0.389687077,0.348383977
ZFP36L1,  sources,15.351,3.4571374,14,-0.390785741,0.347977808
THAP4, EndodUP sources,1.471,1.202147661,1,-0.391798791,0.347603444
SETBP1, HepEven sources,1.454,1.155804482,1,-0.3928,0.347233602
CBX2, HepEven sources,1.447,1.132780208,1,-0.394604352,0.346567451
TSC22D2, HepUp sources,1.496,1.244180051,1,-0.398656127,0.3450733
HMGB1, HepEven sources,1.48,1.203993355,1,-0.398673297,0.345066973
TRIM32, HepUp sources,1.497,1.244182864,1,-0.399458966,0.344777527
ZNF746, HepEven sources,1.465,1.161367728,1,-0.400389979,0.344434652
SMAD9, ESCUp targets,3.782,1.952556273,3,-0.400500621,0.344393913
HNF4A, HepUp targets,11.377,3.434948471,10,-0.400879376,0.344254467
PPARD, ESCDown targets,3.748,1.861852841,3,-0.401750334,0.343933889
SMAD6, ESCUp targets,3.753,1.874030683,3,-0.401807722,0.343912769
PPARD,  targets,20.616,4.019520369,19,-0.402038017,0.343828024
TSC22D3, HepEven sources,3.763,1.881709595,3,-0.405482335,0.3425615
SMAD7,  sources,10.123,2.769453195,9,-0.405495208,0.34255677
BNC1, HepUp sources,1.475,1.168492619,1,-0.406506633,0.342185192
MAFB, HepUp sources,1.484,1.189850411,1,-0.406773823,0.342087057
ZBTB25, ESCDown sources,2.641,1.572297364,2,-0.407683696,0.341752954
CREM, EndodUP targets,3.79,1.933364942,3,-0.408614009,0.341411474
ZIC2, HepEven sources,1.474,1.159881028,1,-0.408662603,0.341393641
NR3C1, HepUp targets,4.93,2.259889378,4,-0.411524568,0.340343965
ZNF507,  sources,6.927,2.251148818,6,-0.411789746,0.340246769
JAZF1, HepEven sources,1.485,1.168663767,1,-0.415003882,0.339069531
MEF2C, ESCUp targets,1.483,1.163490868,1,-0.415130031,0.339023358
FOXC1, HepUp targets,1.486,1.16953153,1,-0.415551003,0.338869293
PPARA, HepDown targets,6.008,2.41452604,5,-0.417473236,0.338166148
SMAD9, HepEven sources,1.512,1.224686082,1,-0.418066317,0.337949315
ZBTB1, ESCDown sources,2.636,1.517729884,2,-0.419046898,0.337590929
HNF1B, ESCDown sources,1.519,1.233547324,1,-0.42073781,0.336973274
TFAP2A, EndodUP sources,1.516,1.219731118,1,-0.423044057,0.336131559
ZNF132,  sources,5.945,2.223505116,5,-0.425004644,0.335416645
TCF19, HepEven sources,1.51,1.199958333,1,-0.425014758,0.335412958
MYCL1, HepEven sources,1.524,1.227771966,1,-0.426789351,0.334766382
EPAS1, ESCUp sources,1.538,1.254015949,1,-0.429021657,0.333953732
ZNF764, HepEven sources,2.678,1.578707066,2,-0.429465361,0.333792298
TSC22D1, HepEven sources,2.732,1.703577412,2,-0.429684025,0.333712753
SOX6, ESCDown sources,1.531,1.234114662,1,-0.430267961,0.333500365
PLAGL1, HepUp sources,2.664,1.542434439,2,-0.430488313,0.333420233
YBX1,  sources,8.145,2.657437676,7,-0.430866173,0.333282841
ZNF428,  sources,3.738,1.709197472,3,-0.431781589,0.332950081
DSP, HepUp sources,1.519,1.19232504,1,-0.435283989,0.331678152
SMARCC1,  sources,5.972,2.229173838,5,-0.43603598,0.331405312
NR3C1, EndodUP sources,1.533,1.221028665,1,-0.436517189,0.331230765
FOXN3, ESCUp sources,1.516,1.173773402,1,-0.439607848,0.330110578
JDP2, HepEven sources,3.858,1.946236368,3,-0.440850872,0.329660481
ZIC3,  sources,4.856,1.923866939,4,-0.444937216,0.328182563
PBX1, HepUp targets,1.541,1.213391528,1,-0.445857736,0.327850006
HMGA1, ESCDown sources,2.74,1.638413867,2,-0.451656334,0.32575829
U2AF1, HepEven sources,1.553,1.219504408,1,-0.453462896,0.325107728
ZNF507, HepUp sources,1.56,1.234665947,1,-0.453563979,0.325071342
STAT6, HepUp targets,4.98,2.154437282,4,-0.454875159,0.324599528
DMTF1, HepUp sources,1.564,1.23931594,1,-0.455089765,0.324522331
SMAD7, ESCUp targets,3.861,1.889359415,3,-0.455710011,0.324299261
YY2,  sources,4.895,1.940612017,4,-0.461194712,0.322329458
MEIS3, HepEven sources,2.772,1.662533007,2,-0.464351683,0.3211979
TSHZ3, ESCDown sources,1.571,1.228396923,1,-0.464833467,0.32102536
SP110,  sources,8.21,2.600749892,7,-0.465250428,0.320876065
ZNF497,  sources,4.867,1.862608655,4,-0.465476201,0.320795238
THAP4, HepEven sources,2.741,1.586164872,2,-0.467164551,0.320191077
RUNX1, HepEven sources,6.157,2.462996346,5,-0.469753031,0.319265737
ZFX, HepUp sources,1.568,1.208046357,1,-0.470180632,0.319112985
MBNL3, ESCDown sources,1.574,1.210175194,1,-0.474311491,0.317638899
GATA3, HepUp targets,3.914,1.926811875,3,-0.474358712,0.317622065
SSH2, HepUp sources,1.581,1.221244857,1,-0.475744071,0.31712836
SP110, ESCDown sources,1.599,1.258649673,1,-0.475906849,0.317070371
ESCUp, HepEven targets,48.103,6.493873343,45,-0.477835005,0.316383822
HepEven, ESCUp sources,48.103,6.493873343,45,-0.477835005,0.316383822
EndodUP, HepEven targets,58.572,7.405188451,55,-0.482364497,0.314773519
HepEven, EndodUP sources,58.572,7.405188451,55,-0.482364497,0.314773519
LEF1, EndodUP sources,1.612,1.267065902,1,-0.483005658,0.314545859
BACH2, ESCDown targets,7.291,2.668392587,6,-0.483811867,0.314259696
TFAP2A, ESCDown targets,41.139,6.457683718,38,-0.486087603,0.313452528
PRDM1, HepEven targets,9.48,3.038025675,8,-0.48715849,0.31307301
GATA3, HepDown targets,1.622,1.276368285,1,-0.487320162,0.313015731
NKX3-2, HepEven sources,1.625,1.276861386,1,-0.489481479,0.312250432
E2F3, EndodUP sources,2.772,1.569718446,2,-0.491807943,0.31142756
NANOG, EndodUP targets,1.598,1.209295663,1,-0.494502725,0.310475591
ZNF275, HepEven sources,1.587,1.185086917,1,-0.495322319,0.310186309
PRDM6, HepEven sources,2.807,1.629033763,2,-0.495385681,0.31016395
SMAD6, ESCUp sources,1.636,1.279649952,1,-0.49701092,0.309590675
ZNF385A, EndodUP sources,1.622,1.251045962,1,-0.497183971,0.309529662
BACH2, HepUp targets,8.406,2.810189317,7,-0.500322164,0.308424125
RUNX1, ESCUp sources,2.811,1.620888337,2,-0.500342918,0.30841682
ZBTB16,  sources,11.5,2.987306479,10,-0.502124576,0.307789947
ZZZ3, ESCDown sources,1.617,1.22487183,1,-0.503726174,0.307226907
KLF15, HepEven sources,1.61,1.210743573,1,-0.503822621,0.307193015
ZMAT3, ESCDown sources,1.623,1.22754674,1,-0.507516316,0.305896295
SOX17, HepEven sources,1.659,1.295653889,1,-0.508623488,0.305508081
ZBTB1, ESCUp sources,1.692,1.351715946,1,-0.511941878,0.304345844
SMAD6,  sources,12.702,3.30835246,11,-0.514455464,0.303466795
KLF11, HepEven sources,2.845,1.641028641,2,-0.514920934,0.303304136
BACH2, HepUp sources,1.659,1.272288882,1,-0.517964127,0.302241649
HAND1,  sources,5.042,2.004553816,4,-0.519816426,0.301595765
POU5F1, EndodUP targets,2.856,1.6429437,2,-0.521016028,0.301177803
LEF1, HepEven targets,2.828,1.587581809,2,-0.521547926,0.300992564
SP100, EndodUP sources,1.687,1.315686513,1,-0.522160859,0.300779168
MAFB, HepUp targets,7.413,2.678886149,6,-0.527458026,0.298937779
JUND,  sources,5.041,1.965023918,4,-0.529764544,0.298137595
DZIP1, HepEven sources,1.646,1.218476097,1,-0.530170433,0.297996884
ZBTB25, ESCUp sources,1.667,1.254635804,1,-0.53162838,0.297491702
FOXJ2, ESCDown targets,4.033,1.942655657,3,-0.531746322,0.297450852
NR2F2, EndodUP targets,16.165,4.071090149,14,-0.53179859,0.29743275
CBX2,  sources,5.12,2.099428494,4,-0.533478517,0.296851189
ZNF232, ESCDown sources,1.679,1.271990173,1,-0.533809155,0.296736789
RBPJ, ESCUp targets,1.692,1.291176208,1,-0.535945439,0.29599813
BRD9, HepEven sources,2.867,1.614097581,2,-0.537142246,0.295584681
ZIC3, ESCDown targets,2.886,1.647119911,2,-0.537908621,0.295320068
DMAP1,  sources,7.309,2.422296225,6,-0.540396334,0.294461868
NFE2, HepUp targets,8.592,2.938628251,7,-0.541749369,0.293995588
ZNF107,  sources,3.961,1.77354983,3,-0.541851142,0.293960529
FOXD3, HepEven sources,2.864,1.5923266,2,-0.542602253,0.293701844
LEF1, HepEven sources,2.903,1.659394769,2,-0.544174308,0.293160765
NR3C1, HepEven sources,2.935,1.712534671,2,-0.545974348,0.292541785
LARP7,  sources,7.337,2.428050864,6,-0.550647443,0.29093769
ARNT, HepEven targets,11.89,3.431894521,10,-0.550716226,0.29091411
PRDM1, ESCDown sources,2.894,1.605853044,2,-0.556713457,0.288861611
FOXJ2, HepEven sources,1.707,1.266945539,1,-0.558035036,0.28841023
PBX1,  targets,7.378,2.465180724,6,-0.558985387,0.288085847
NKX2-5, EndodUP targets,1.728,1.301543699,1,-0.559335811,0.28796628
SLC2A4RG,  sources,8.451,2.594147066,7,-0.55933606,0.287966195
NFXL1,  sources,6.288,2.294570984,5,-0.561324975,0.287288009
NFE2, ESCDown targets,7.513,2.690321728,6,-0.562386269,0.286926436
YEATS2, HepEven sources,1.699,1.242738508,1,-0.562467482,0.286898776
LARP7, HepUp sources,1.691,1.223731588,1,-0.56466631,0.286150377
EndoDown, ESCUp targets,2.968,1.710256121,2,-0.565997097,0.285697877
GLI2, ESCUp targets,2.968,1.710256121,2,-0.565997097,0.285697877
ESCUp, EndoDown sources,2.968,1.710256121,2,-0.565997097,0.285697877
CARHSP1,  sources,7.4,2.470627451,6,-0.566657672,0.285473392
PPARD, EndodUP targets,2.987,1.732867854,2,-0.569576034,0.284482644
FOXD3, HepEven targets,4.123,1.962108815,3,-0.572343385,0.283544682
RFX5, ESCUp targets,1.764,1.330527715,1,-0.574208257,0.282913441
MAX, HepEven sources,3.005,1.742691883,2,-0.576694027,0.282073084
DEK, HepUp sources,1.745,1.289176093,1,-0.57788847,0.28166971
OVOL1, HepEven sources,1.754,1.303642589,1,-0.578379386,0.281504004
HepDown, HepEven targets,11.811,3.127503637,10,-0.579056081,0.281275666
